codgeo;libgeo;p21_pop
14684;Tessel;251
49182;Louresse-Rochemenier;894
27363;Le Landin;244
86211;Romagne;836
42207;Saint-Chamond;35068
76065;Beaussault;412
03178;Montaiguët-en-Forez;287
71213;La Genête;565
28257;Mondonville-Saint-Jean;90
17376;Saint-Ouen-d'Aunis;2083
56107;Larmor-Plage;8318
34054;Cassagnoles;110
39291;Lemuy;242
88441;Sans-Vallois;128
52103;Champigny-sous-Varennes;126
57076;Beyren-lès-Sierck;504
51592;Vandières;298
45277;Saint-Florent;448
51152;Chigny-les-Roses;530
23148;Nouziers;248
62114;Bermicourt;169
10198;Lirey;110
19281;Veix;71
71131;Ciel;881
51646;Virginy;82
18248;Senneçay;459
25275;Glère;185
64407;Mouguerre;5291
71330;Neuvy-Grandchamp;749
16103;Combiers;124
77128;Couilly-Pont-aux-Dames;2100
40251;Saint-Barthélemy;430
10162;Fresnoy-le-Château;300
67139;Flexbourg;483
62530;Lottinghen;537
17247;Mornac-sur-Seudre;865
95023;Arronville;624
85024;Bois-de-Céné;2159
40042;Biarrotte;345
57457;Menskirch;138
37149;Marray;482
26204;Montlaur-en-Diois;145
32044;Béraut;292
31282;Launaguet;9260
88445;Saulcy-sur-Meurthe;2319
32070;Cahuzac-sur-Adour;202
89483;Voisines;514
91111;Briis-sous-Forges;3380
34016;Aumelas;557
17044;Berneuil;1162
54318;Liverdun;5694
41246;Seur;479
55467;Sampigny;697
68227;Muntzenheim;1283
38075;Chapareillan;2997
04214;Tartonne;127
61145;Domfront;4155
70052;Bassigney;118
60404;Mogneville;1490
50285;Magneville;312
64090;Baliracq-Maumusson;119
46175;Lissac-et-Mouret;930
17301;Romazières;77
22283;Saint-Clet;872
61116;Condé-sur-Huisne;1983
23091;Gioux;171
02229;Courtrizy-et-Fussigny;75
02573;Orgeval;55
02657;Rougeries;218
16312;Saint-Cybardeaux;822
81200;Palleville;444
49369;Vernoil-le-Fourrier;1283
71126;Chevagny-les-Chevrières;597
61044;Berjou;437
33063;Bordeaux;261804
37084;Couesmes;549
31292;Lescuns;74
67364;Osthouse;934
71293;Ménetreuil;410
82049;Donzac;1035
79141;Irais;208
17407;Sainte-Soulle;4961
53201;Saint-Berthevin;7353
36060;Crevant;704
91629;Valpuiseaux;621
55110;Chauvency-Saint-Hubert;223
24006;Allas-les-Mines;191
59218;Étroeungt;1273
76681;Sotteville-lès-Rouen;28965
92033;Garches;17898
43136;Monistrol-d'Allier;216
24081;Carlux;640
61171;Fontaine-les-Bassets;111
24337;Prats-du-Périgord;146
32378;Saint-Germé;504
54505;Sexey-aux-Forges;730
55460;Saint-Julien-sous-les-Côtes;139
77078;Chamigny;1378
02359;Grugies;1259
62494;Léchelle;46
89065;Cérilly;46
18014;Assigny;146
74169;Marnaz;5827
18228;Saint-Outrille;217
55482;Senoncourt-les-Maujouy;102
68009;Artzenheim;862
24528;Sceau-Saint-Angel;128
14061;Le Bény-Bocage;8745
08207;Ham-sur-Meuse;227
24151;Doissat;102
64332;Lème;168
25438;Osselle;958
32264;Monclar;223
32466;Viozan;101
38132;Les Côtes-de-Corps;74
34282;Saint-Paul-et-Valmalle;1342
62067;Avroult;567
88508;Ville-sur-Illon;521
72295;Saint-Longis;507
30179;Montfrin;3129
62428;Hénin-sur-Cojeul;528
64176;Castetbon;156
02267;Dommiers;301
52350;Neuvelle-lès-Voisey;66
15091;Landeyrat;88
42215;Saint-Denis-de-Cabanne;1259
67248;Krautergersheim;1745
88446;Saulxures-lès-Bulgnéville;237
08315;Neufmaison;72
10410;Villadin;103
44208;Treffieux;956
88052;Belrupt;92
08480;Villers-Semeuse;3608
32406;Saint-Sauvy;349
25286;Grand'Combe-des-Bois;122
11227;Mayronnes;42
72222;Nouans;261
50535;Sainte-Pience;911
33512;Sigalens;347
08025;Attigny;1106
14110;Brucourt;127
40217;Parentis-en-Born;7195
62357;Fresnoy;68
31466;Saiguède;803
89098;Cheney;231
60554;Rouvres-en-Multien;473
68240;Oberdorf;1244
35087;Cornillé;964
52316;Mathons;69
86124;Lavoux;1181
85011;Barbâtre;1755
76439;Mirville;352
02601;Pignicourt;182
21116;Bure-les-Templiers;134
03288;Treignat;398
33031;Bassanne;131
02112;Brancourt-le-Grand;556
60110;Broquiers;245
65449;Tournous-Devant;84
09175;Ludiès;96
51182;Courcemain;88
07015;Arras-sur-Rhône;536
